campaign_id,brand,campaign_name,start_date,end_date,channel,target_model,audience_segment,message_subject,message_body,impressions,clicks,opens,ctr,conversion_rate
CAMP-MAR-10376,Maruti,Grand Vitara Test Drive Campaign 43,2024-08-21,2024-09-02,Email,Grand Vitara,Tech-savvy Professionals,Drive home a Grand Vitara with low EMI,Drive home a Grand Vitara with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2024-08-21 to 2024-09-02.,67186,3318,8996,0.0494,0.051
CAMP-MAR-10377,Maruti,Fronx Test Drive Campaign 42,2025-02-26,2025-04-14,Email,Fronx,Urban Families,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-02-26 to 2025-04-14.,59379,3022,5317,0.0509,0.064
CAMP-MAR-10378,Maruti,Dzire Festive Offer Campaign 37,2025-08-27,2025-10-13,TV,Dzire,Eco-conscious Buyers,Upgrade to Dzire — Special finance rates,Upgrade to Dzire — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2025-08-27 to 2025-10-13.,9955,170,,0.0171,0.051
CAMP-MAR-10379,Maruti,Brezza Launch Campaign 20,2025-04-14,2025-05-01,Email,Brezza,Eco-conscious Buyers,Drive home a Brezza with low EMI,Drive home a Brezza with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2025-04-14 to 2025-05-01.,78627,3813,6486,0.0485,0.026
CAMP-MAR-10380,Maruti,Fronx Exchange Bonus Campaign 38,2025-05-10,2025-06-30,Social Media,Fronx,Rural Buyers,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-10 to 2025-06-30.,50637,1164,,0.023,0.039
CAMP-MAR-10381,Maruti,Ignis Finance Offer Campaign 11,2024-12-23,2025-02-21,In-showroom,Ignis,Gen Z,Save big on Ignis — Exchange bonus available,Save big on Ignis — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-12-23 to 2025-02-21.,53687,4064,,0.0757,0.012
CAMP-MAR-10382,Maruti,Fronx Festive Offer Campaign 24,2024-08-21,2024-09-15,Social Media,Fronx,Affluent Buyers,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-08-21 to 2024-09-15.,28085,28,,0.001,0.081
CAMP-MAR-10383,Maruti,Fronx Exchange Bonus Campaign 14,2024-05-29,2024-07-16,Search Ads,Fronx,Affluent Buyers,Exclusive offer on Fronx — Limited time!,Exclusive offer on Fronx — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-05-29 to 2024-07-16.,59688,1808,,0.0303,0.079
CAMP-MAR-10384,Maruti,Brezza Test Drive Campaign 27,2024-12-31,2025-01-25,Social Media,Brezza,Urban Families,Test drive the new Brezza today,Test drive the new Brezza today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-12-31 to 2025-01-25.,63342,500,,0.0079,0.064
CAMP-MAR-10385,Maruti,Baleno Awareness Campaign 44,2024-11-05,2024-11-24,Social Media,Baleno,Affluent Buyers,Exclusive offer on Baleno — Limited time!,Exclusive offer on Baleno — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-11-05 to 2024-11-24.,29827,107,,0.0036,0.061
CAMP-MAR-10386,Maruti,Swift Finance Offer Campaign 27,2024-11-23,2024-12-21,In-showroom,Swift,Rural Buyers,Upgrade to Swift — Special finance rates,Upgrade to Swift — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-11-23 to 2024-12-21.,12242,1199,,0.0979,0.033
CAMP-MAR-10387,Maruti,Ignis Exchange Bonus Campaign 45,2024-06-04,2024-07-30,Social Media,Ignis,Eco-conscious Buyers,Ignis: Feature-packed & family-friendly,Ignis: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-06-04 to 2024-07-30.,62006,768,,0.0124,0.046
CAMP-MAR-10388,Maruti,Brezza Finance Offer Campaign 29,2024-12-29,2025-02-12,Social Media,Brezza,Rural Buyers,Upgrade to Brezza — Special finance rates,Upgrade to Brezza — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-12-29 to 2025-02-12.,57601,806,,0.014,0.047
CAMP-MAR-10389,Maruti,Brezza Test Drive Campaign 45,2024-03-18,2024-05-05,Email,Brezza,Gen Z,Brezza: Feature-packed & family-friendly,Brezza: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-03-18 to 2024-05-05.,45282,2322,3867,0.0513,0.005
CAMP-MAR-10390,Maruti,Fronx Exchange Bonus Campaign 48,2024-03-01,2024-04-14,Display Ads,Fronx,Affluent Buyers,Drive home a Fronx with low EMI,Drive home a Fronx with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2024-03-01 to 2024-04-14.,55831,55,,0.001,0.062
CAMP-MAR-10391,Maruti,Fronx Finance Offer Campaign 9,2025-02-09,2025-03-14,Search Ads,Fronx,Urban Families,Fronx: Feature-packed & family-friendly,Fronx: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-02-09 to 2025-03-14.,43683,1856,,0.0425,0.049
CAMP-MAR-10392,Maruti,Fronx Launch Campaign 8,2024-01-01,2024-01-11,TV,Fronx,First-time Buyers,Drive home a Fronx with low EMI,Drive home a Fronx with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2024-01-01 to 2024-01-11.,55251,55,,0.001,0.039
CAMP-MAR-10393,Maruti,Brezza Exchange Bonus Campaign 30,2024-06-08,2024-07-25,In-showroom,Brezza,Gen Z,Brezza: Feature-packed & family-friendly,Brezza: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-06-08 to 2024-07-25.,79419,4868,,0.0613,0.005
CAMP-MAR-10394,Maruti,Baleno Launch Campaign 41,2025-04-18,2025-05-17,Email,Baleno,Affluent Buyers,Upgrade to Baleno — Special finance rates,Upgrade to Baleno — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2025-04-18 to 2025-05-17.,18600,1134,2567,0.061,0.084
CAMP-MAR-10395,Maruti,Brezza Service Camp Campaign 11,2024-01-30,2024-02-18,Search Ads,Brezza,Affluent Buyers,Brezza: Feature-packed & family-friendly,Brezza: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-01-30 to 2024-02-18.,24918,343,,0.0138,0.054
CAMP-MAR-10396,Maruti,Brezza Test Drive Campaign 34,2025-07-16,2025-08-15,Email,Brezza,Urban Families,Upgrade to Brezza — Special finance rates,Upgrade to Brezza — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2025-07-16 to 2025-08-15.,68115,3964,11834,0.0582,0.047
CAMP-MAR-10397,Maruti,Dzire Launch Campaign 23,2024-04-30,2024-06-28,In-showroom,Dzire,First-time Buyers,Test drive the new Dzire today,Test drive the new Dzire today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-04-30 to 2024-06-28.,13422,809,,0.0603,0.064
CAMP-MAR-10398,Maruti,Fronx Awareness Campaign 28,2025-02-12,2025-03-07,Social Media,Fronx,Eco-conscious Buyers,Fronx: Feature-packed & family-friendly,Fronx: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-02-12 to 2025-03-07.,40931,1043,,0.0255,0.042
CAMP-MAR-10399,Maruti,Ignis Discount Campaign 7,2024-01-12,2024-02-11,In-showroom,Ignis,Tech-savvy Professionals,Ignis: Feature-packed & family-friendly,Ignis: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-01-12 to 2024-02-11.,60632,5681,,0.0937,0.04
CAMP-MAR-10400,Maruti,Ertiga Service Camp Campaign 13,2025-05-10,2025-05-20,Dealer,Ertiga,Tech-savvy Professionals,Test drive the new Ertiga today,Test drive the new Ertiga today — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-10 to 2025-05-20.,42788,3037,,0.071,0.051
CAMP-MAR-10401,Maruti,Dzire Festive Offer Campaign 46,2025-05-06,2025-07-03,Social Media,Dzire,Eco-conscious Buyers,Drive home a Dzire with low EMI,Drive home a Dzire with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-06 to 2025-07-03.,30489,1021,,0.0335,0.035
CAMP-MAR-10402,Maruti,Dzire Finance Offer Campaign 17,2024-07-26,2024-09-04,Search Ads,Dzire,Urban Families,Save big on Dzire — Exchange bonus available,Save big on Dzire — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-07-26 to 2024-09-04.,24211,1072,,0.0443,0.077
CAMP-MAR-10403,Maruti,Fronx Test Drive Campaign 17,2024-05-25,2024-06-01,Social Media,Fronx,Fleet Managers,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-05-25 to 2024-06-01.,49611,932,,0.0188,0.077
CAMP-MAR-10404,Maruti,Fronx Exchange Bonus Campaign 26,2025-07-27,2025-08-03,TV,Fronx,Rural Buyers,Test drive the new Fronx today,Test drive the new Fronx today — Book online or visit your nearest Maruti dealer. Offer valid from 2025-07-27 to 2025-08-03.,54637,715,,0.0131,0.046
CAMP-MAR-10405,Maruti,Dzire Test Drive Campaign 21,2025-02-04,2025-04-04,Dealer,Dzire,Rural Buyers,Exclusive offer on Dzire — Limited time!,Exclusive offer on Dzire — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2025-02-04 to 2025-04-04.,16647,1185,,0.0712,0.025
CAMP-MAR-10406,Maruti,Grand Vitara Festive Offer Campaign 37,2024-07-21,2024-08-15,Social Media,Grand Vitara,Eco-conscious Buyers,Exclusive offer on Grand Vitara — Limited time!,Exclusive offer on Grand Vitara — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-07-21 to 2024-08-15.,62448,355,,0.0057,0.059
CAMP-MAR-10407,Maruti,Brezza Discount Campaign 2,2025-04-02,2025-05-31,Social Media,Brezza,Gen Z,Test drive the new Brezza today,Test drive the new Brezza today — Book online or visit your nearest Maruti dealer. Offer valid from 2025-04-02 to 2025-05-31.,52287,1270,,0.0243,0.005
CAMP-MAR-10408,Maruti,Fronx Awareness Campaign 20,2024-09-07,2024-10-23,SMS,Fronx,Tech-savvy Professionals,Upgrade to Fronx — Special finance rates,Upgrade to Fronx — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-09-07 to 2024-10-23.,21393,417,,0.0195,0.052
CAMP-MAR-10409,Maruti,Brezza Festive Offer Campaign 42,2024-06-01,2024-07-28,Display Ads,Brezza,Tech-savvy Professionals,Upgrade to Brezza — Special finance rates,Upgrade to Brezza — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-06-01 to 2024-07-28.,26049,26,,0.001,0.051
CAMP-MAR-10410,Maruti,Baleno Finance Offer Campaign 47,2025-05-15,2025-06-23,Display Ads,Baleno,First-time Buyers,Save big on Baleno — Exchange bonus available,Save big on Baleno — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-15 to 2025-06-23.,14951,14,,0.0009,0.031
CAMP-MAR-10411,Maruti,Ignis Festive Offer Campaign 34,2024-10-30,2024-12-02,Dealer,Ignis,Urban Families,Upgrade to Ignis — Special finance rates,Upgrade to Ignis — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-10-30 to 2024-12-02.,33224,1372,,0.0413,0.042
CAMP-MAR-10412,Maruti,Dzire Launch Campaign 38,2024-11-12,2024-12-09,Dealer,Dzire,First-time Buyers,Upgrade to Dzire — Special finance rates,Upgrade to Dzire — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-11-12 to 2024-12-09.,20481,1278,,0.0624,0.039
CAMP-MAR-10413,Maruti,Fronx Finance Offer Campaign 48,2025-02-16,2025-03-03,Email,Fronx,First-time Buyers,Exclusive offer on Fronx — Limited time!,Exclusive offer on Fronx — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2025-02-16 to 2025-03-03.,79399,4430,7631,0.0558,0.054
CAMP-MAR-10414,Maruti,Ertiga Exchange Bonus Campaign 21,2025-02-16,2025-03-29,SMS,Ertiga,First-time Buyers,Exclusive offer on Ertiga — Limited time!,Exclusive offer on Ertiga — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2025-02-16 to 2025-03-29.,57177,2058,,0.036,0.033
CAMP-MAR-10415,Maruti,Dzire Discount Campaign 29,2024-08-28,2024-10-21,Email,Dzire,Eco-conscious Buyers,Upgrade to Dzire — Special finance rates,Upgrade to Dzire — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-08-28 to 2024-10-21.,14140,639,1582,0.0452,0.044
CAMP-MAR-10416,Maruti,Swift Finance Offer Campaign 11,2024-10-25,2024-11-06,SMS,Swift,Eco-conscious Buyers,Save big on Swift — Exchange bonus available,Save big on Swift — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-10-25 to 2024-11-06.,33229,431,,0.013,0.033
CAMP-MAR-10417,Maruti,Fronx Discount Campaign 17,2024-08-21,2024-09-02,Email,Fronx,Gen Z,Drive home a Fronx with low EMI,Drive home a Fronx with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2024-08-21 to 2024-09-02.,57408,2370,6002,0.0413,0.025
CAMP-MAR-10418,Maruti,Fronx Test Drive Campaign 17,2025-07-10,2025-09-08,Dealer,Fronx,First-time Buyers,Drive home a Fronx with low EMI,Drive home a Fronx with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2025-07-10 to 2025-09-08.,73741,5478,,0.0743,0.053
CAMP-MAR-10419,Maruti,Ertiga Finance Offer Campaign 22,2025-02-12,2025-03-09,Social Media,Ertiga,Rural Buyers,Save big on Ertiga — Exchange bonus available,Save big on Ertiga — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-02-12 to 2025-03-09.,61247,404,,0.0066,0.036
CAMP-MAR-10420,Maruti,Dzire Service Camp Campaign 20,2025-03-20,2025-05-11,In-showroom,Dzire,Tech-savvy Professionals,Upgrade to Dzire — Special finance rates,Upgrade to Dzire — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2025-03-20 to 2025-05-11.,48348,3379,,0.0699,0.062
CAMP-MAR-10421,Maruti,Fronx Discount Campaign 32,2025-05-06,2025-06-14,Email,Fronx,Urban Families,Drive home a Fronx with low EMI,Drive home a Fronx with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-06 to 2025-06-14.,20921,1253,2657,0.0599,0.061
CAMP-MAR-10422,Maruti,Ignis Test Drive Campaign 9,2025-01-05,2025-03-05,Social Media,Ignis,Gen Z,Upgrade to Ignis — Special finance rates,Upgrade to Ignis — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2025-01-05 to 2025-03-05.,42405,1195,,0.0282,0.023
CAMP-MAR-10423,Maruti,Fronx Festive Offer Campaign 3,2025-06-20,2025-08-06,Dealer,Fronx,Affluent Buyers,Drive home a Fronx with low EMI,Drive home a Fronx with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2025-06-20 to 2025-08-06.,61409,1934,,0.0315,0.087
CAMP-MAR-10424,Maruti,Fronx Finance Offer Campaign 36,2025-03-19,2025-04-14,Social Media,Fronx,Fleet Managers,Test drive the new Fronx today,Test drive the new Fronx today — Book online or visit your nearest Maruti dealer. Offer valid from 2025-03-19 to 2025-04-14.,38698,681,,0.0176,0.062
CAMP-MAR-10425,Maruti,Alto Test Drive Campaign 25,2025-02-24,2025-03-10,SMS,Alto,Tech-savvy Professionals,Alto: Feature-packed & family-friendly,Alto: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-02-24 to 2025-03-10.,26136,682,,0.0261,0.06
CAMP-MAR-10426,Maruti,Fronx Discount Campaign 34,2025-04-19,2025-05-19,Email,Fronx,Eco-conscious Buyers,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-04-19 to 2025-05-19.,38669,2416,5857,0.0625,0.039
CAMP-MAR-10427,Maruti,Fronx Discount Campaign 31,2024-04-27,2024-05-10,In-showroom,Fronx,Tech-savvy Professionals,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-04-27 to 2024-05-10.,49560,4658,,0.094,0.03
CAMP-MAR-10428,Maruti,WagonR Finance Offer Campaign 2,2025-05-01,2025-06-10,Social Media,WagonR,Urban Families,Save big on WagonR — Exchange bonus available,Save big on WagonR — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-01 to 2025-06-10.,15107,419,,0.0277,0.05
CAMP-MAR-10429,Maruti,WagonR Service Camp Campaign 37,2025-07-14,2025-09-11,Display Ads,WagonR,Urban Families,Exclusive offer on WagonR — Limited time!,Exclusive offer on WagonR — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2025-07-14 to 2025-09-11.,20665,20,,0.001,0.055
CAMP-MAR-10430,Maruti,Fronx Launch Campaign 41,2025-03-11,2025-05-01,In-showroom,Fronx,First-time Buyers,Upgrade to Fronx — Special finance rates,Upgrade to Fronx — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2025-03-11 to 2025-05-01.,20195,1316,,0.0652,0.039
CAMP-MAR-10431,Maruti,Swift Service Camp Campaign 46,2024-08-16,2024-08-28,In-showroom,Swift,Rural Buyers,Drive home a Swift with low EMI,Drive home a Swift with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2024-08-16 to 2024-08-28.,35895,3000,,0.0836,0.023
CAMP-MAR-10432,Maruti,Swift Awareness Campaign 46,2024-05-17,2024-06-23,In-showroom,Swift,Affluent Buyers,Exclusive offer on Swift — Limited time!,Exclusive offer on Swift — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-05-17 to 2024-06-23.,14547,888,,0.061,0.076
CAMP-MAR-10433,Maruti,Ignis Exchange Bonus Campaign 17,2024-07-15,2024-08-31,Email,Ignis,Fleet Managers,Save big on Ignis — Exchange bonus available,Save big on Ignis — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-07-15 to 2024-08-31.,54317,1640,4257,0.0302,0.097
CAMP-MAR-10434,Maruti,Fronx Finance Offer Campaign 32,2024-09-03,2024-09-20,Search Ads,Fronx,Gen Z,Fronx: Feature-packed & family-friendly,Fronx: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-09-03 to 2024-09-20.,76261,3309,,0.0434,0.05
CAMP-MAR-10435,Maruti,Fronx Festive Offer Campaign 49,2025-07-10,2025-09-02,SMS,Fronx,Affluent Buyers,Exclusive offer on Fronx — Limited time!,Exclusive offer on Fronx — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2025-07-10 to 2025-09-02.,73287,2117,,0.0289,0.088
CAMP-MAR-10436,Maruti,Fronx Exchange Bonus Campaign 18,2024-06-20,2024-08-19,Email,Fronx,Gen Z,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-06-20 to 2024-08-19.,75954,3683,5873,0.0485,0.039
CAMP-MAR-10437,Maruti,Swift Exchange Bonus Campaign 20,2025-05-11,2025-06-05,Email,Swift,Eco-conscious Buyers,Swift: Feature-packed & family-friendly,Swift: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-11 to 2025-06-05.,23844,1275,2729,0.0535,0.029
CAMP-MAR-10438,Maruti,Baleno Finance Offer Campaign 1,2024-11-19,2024-12-08,SMS,Baleno,First-time Buyers,Save big on Baleno — Exchange bonus available,Save big on Baleno — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-11-19 to 2024-12-08.,37203,1741,,0.0468,0.068
CAMP-MAR-10439,Maruti,Grand Vitara Service Camp Campaign 20,2024-10-16,2024-11-25,Dealer,Grand Vitara,Tech-savvy Professionals,Upgrade to Grand Vitara — Special finance rates,Upgrade to Grand Vitara — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-10-16 to 2024-11-25.,57545,3366,,0.0585,0.057
CAMP-MAR-10440,Maruti,Grand Vitara Exchange Bonus Campaign 26,2024-07-13,2024-08-15,Email,Grand Vitara,Gen Z,Upgrade to Grand Vitara — Special finance rates,Upgrade to Grand Vitara — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-07-13 to 2024-08-15.,27911,1800,2971,0.0645,0.047
CAMP-MAR-10441,Maruti,Grand Vitara Festive Offer Campaign 21,2024-09-29,2024-10-27,Email,Grand Vitara,Fleet Managers,Save big on Grand Vitara — Exchange bonus available,Save big on Grand Vitara — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-09-29 to 2024-10-27.,51935,1620,2614,0.0312,0.099
CAMP-MAR-10442,Maruti,WagonR Launch Campaign 49,2024-02-16,2024-03-14,In-showroom,WagonR,Rural Buyers,Upgrade to WagonR — Special finance rates,Upgrade to WagonR — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-02-16 to 2024-03-14.,16605,1519,,0.0915,0.056
CAMP-MAR-10443,Maruti,Baleno Test Drive Campaign 24,2024-09-04,2024-10-11,TV,Baleno,First-time Buyers,Exclusive offer on Baleno — Limited time!,Exclusive offer on Baleno — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-09-04 to 2024-10-11.,21486,21,,0.001,0.047
CAMP-MAR-10444,Maruti,Fronx Awareness Campaign 19,2025-06-15,2025-07-21,Social Media,Fronx,Urban Families,Upgrade to Fronx — Special finance rates,Upgrade to Fronx — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2025-06-15 to 2025-07-21.,38567,732,,0.019,0.045
CAMP-MAR-10445,Maruti,Swift Festive Offer Campaign 22,2024-11-22,2024-12-30,Social Media,Swift,Urban Families,Save big on Swift — Exchange bonus available,Save big on Swift — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-11-22 to 2024-12-30.,22836,806,,0.0353,0.047
CAMP-MAR-10446,Maruti,Fronx Festive Offer Campaign 30,2024-10-19,2024-12-14,TV,Fronx,Urban Families,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-10-19 to 2024-12-14.,79491,79,,0.001,0.043
CAMP-MAR-10447,Maruti,Baleno Awareness Campaign 49,2024-02-12,2024-03-07,Display Ads,Baleno,First-time Buyers,Save big on Baleno — Exchange bonus available,Save big on Baleno — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-02-12 to 2024-03-07.,15823,420,,0.0265,0.045
CAMP-MAR-10448,Maruti,Fronx Festive Offer Campaign 15,2025-06-12,2025-06-29,In-showroom,Fronx,Gen Z,Fronx: Feature-packed & family-friendly,Fronx: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-06-12 to 2025-06-29.,60679,4247,,0.07,0.028
CAMP-MAR-10449,Maruti,Dzire Festive Offer Campaign 31,2024-04-03,2024-04-23,TV,Dzire,Tech-savvy Professionals,Drive home a Dzire with low EMI,Drive home a Dzire with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2024-04-03 to 2024-04-23.,27274,441,,0.0162,0.065
CAMP-MAR-10450,Maruti,Dzire Finance Offer Campaign 49,2025-01-20,2025-02-06,In-showroom,Dzire,Gen Z,Save big on Dzire — Exchange bonus available,Save big on Dzire — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-01-20 to 2025-02-06.,15183,1434,,0.0944,0.015
CAMP-MAR-10451,Maruti,Brezza Test Drive Campaign 40,2024-10-26,2024-12-12,Social Media,Brezza,Affluent Buyers,Test drive the new Brezza today,Test drive the new Brezza today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-10-26 to 2024-12-12.,53320,863,,0.0162,0.06
CAMP-MAR-10452,Maruti,Baleno Festive Offer Campaign 17,2025-03-14,2025-04-04,Social Media,Baleno,Gen Z,Baleno: Feature-packed & family-friendly,Baleno: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-03-14 to 2025-04-04.,36394,334,,0.0092,0.043
CAMP-MAR-10453,Maruti,Swift Launch Campaign 17,2024-10-13,2024-10-26,In-showroom,Swift,Urban Families,Swift: Feature-packed & family-friendly,Swift: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2024-10-13 to 2024-10-26.,34193,3347,,0.0979,0.078
CAMP-MAR-10454,Maruti,Fronx Test Drive Campaign 14,2024-07-17,2024-09-14,Social Media,Fronx,Fleet Managers,Upgrade to Fronx — Special finance rates,Upgrade to Fronx — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2024-07-17 to 2024-09-14.,42428,1421,,0.0335,0.063
CAMP-MAR-10455,Maruti,Fronx Launch Campaign 27,2024-06-30,2024-08-26,Search Ads,Fronx,Urban Families,Exclusive offer on Fronx — Limited time!,Exclusive offer on Fronx — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-06-30 to 2024-08-26.,46943,737,,0.0157,0.042
CAMP-MAR-10456,Maruti,Brezza Finance Offer Campaign 30,2024-04-14,2024-05-16,Social Media,Brezza,Rural Buyers,Test drive the new Brezza today,Test drive the new Brezza today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-04-14 to 2024-05-16.,39167,250,,0.0064,0.042
CAMP-MAR-10457,Maruti,Grand Vitara Test Drive Campaign 43,2025-06-23,2025-08-16,Search Ads,Grand Vitara,Gen Z,Test drive the new Grand Vitara today,Test drive the new Grand Vitara today — Book online or visit your nearest Maruti dealer. Offer valid from 2025-06-23 to 2025-08-16.,21858,585,,0.0268,0.018
CAMP-MAR-10458,Maruti,Brezza Exchange Bonus Campaign 20,2024-07-30,2024-08-12,Dealer,Brezza,Gen Z,Drive home a Brezza with low EMI,Drive home a Brezza with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2024-07-30 to 2024-08-12.,40101,2353,,0.0587,0.025
CAMP-MAR-10459,Maruti,Brezza Awareness Campaign 23,2025-06-30,2025-08-18,Search Ads,Brezza,Tech-savvy Professionals,Save big on Brezza — Exchange bonus available,Save big on Brezza — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-06-30 to 2025-08-18.,65924,2149,,0.0326,0.061
CAMP-MAR-10460,Maruti,WagonR Festive Offer Campaign 40,2025-03-23,2025-05-17,SMS,WagonR,First-time Buyers,Save big on WagonR — Exchange bonus available,Save big on WagonR — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-03-23 to 2025-05-17.,27199,584,,0.0215,0.048
CAMP-MAR-10461,Maruti,Grand Vitara Discount Campaign 41,2025-06-13,2025-08-04,SMS,Grand Vitara,Rural Buyers,Save big on Grand Vitara — Exchange bonus available,Save big on Grand Vitara — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-06-13 to 2025-08-04.,46073,1755,,0.0381,0.07
CAMP-MAR-10462,Maruti,Brezza Discount Campaign 1,2024-08-31,2024-09-26,Social Media,Brezza,Tech-savvy Professionals,Exclusive offer on Brezza — Limited time!,Exclusive offer on Brezza — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-08-31 to 2024-09-26.,65762,795,,0.0121,0.061
CAMP-MAR-10463,Maruti,Dzire Test Drive Campaign 17,2025-06-17,2025-07-01,Dealer,Dzire,Urban Families,Upgrade to Dzire — Special finance rates,Upgrade to Dzire — Special finance rates — Book online or visit your nearest Maruti dealer. Offer valid from 2025-06-17 to 2025-07-01.,7677,554,,0.0722,0.055
